A,B,C,D
63,43,77,48
35,21,64,17
45,26,12,95
49,6,29,35
57,51,48,31
86,44,30,88
92,79,52,23
20,99,72,52
16,67,7,91
9,18,12,74
6,18,16,62
17,18,29,12
19,43,5,38
40,40,65,69
22,72,86,28
17,83,89,68
81,72,96,12
8,99,46,90
55,98,63,48
82,41,13,84
98,46,66,71
10,51,54,75
34,99,31,20
29,5,7,6
39,63,6,26
1,97,21,10
42,49,28,96
61,4,46,93
36,65,96,29
66,92,1,99
31,98,11,93
73,65,11,50
79,38,60,34
31,20,83,91
45,66,2,66
55,84,70,22
32,91,94,22
15,88,38,84
20,96,13,11
1,32,12,31
75,20,7,75
96,74,63,53
19,76,82,94
97,25,59,40
51,17,49,16
75,91,55,3
59,53,45,70
26,72,3,36
10,67,32,86
26,22,76,54
61,10,93,88
32,11,67,78
4,28,33,64
28,92,14,17
45,5,99,1
35,5,82,65
60,12,60,65
72,73,78,56
15,84,57,71
72,33,75,67
30,89,46,41
54,16,47,84
88,32,51,19
46,87,49,77
63,14,1,15
46,71,9,59
61,0,26,72
31,81,77,67
46,96,77,29
18,28,79,41
93,20,92,56
21,57,29,35
46,21,70,3
68,66,99,29
8,73,24,38
83,42,69,6
26,43,27,78
55,94,65,10
44,25,83,11
48,36,85,90
21,52,59,51
19,15,22,73
14,27,31,57
48,38,6,47
8,77,30,67
23,31,21,41
55,7,70,38
50,49,54,87
82,37,84,0
35,45,20,44
78,59,45,74
89,40,67,45
35,15,92,30
97,0,75,41
91,83,51,14
91,4,30,48
32,96,10,30
56,37,63,80
72,2,46,27
11,77,44,47
